DayNum,Winner,WScore,Loser,LScore,Identifier
134,1000306,58,1000004,43,1
134,1000022,61,1000630,44,2
134,1000076,70,1000531,52,3
134,1000544,81,1000020,77,4
134,1000056,78,1000180,72,5
134,1000602,59,1000310,58,6
134,1000324,73,1000227,72,7
134,1000484,67,1000313,54,8
134,1000007,71,1000311,64,9
134,1000330,74,1000651,59,10
134,1000162,74,1000247,64,11
134,1000294,94,1000058,90,12
134,1000125,96,1000123,65,13
134,1000627,70,1000579,50,14
134,1000211,95,1000607,88,15
134,1000312,67,1000347,66,16
134,1000433,71,1000233,61,17
134,1000474,65,1000541,58,18
135,1000496,60,NULL,56,19
135,1000530,64,1000327,46,20
135,1000533,67,1000326,63,21
135,1000557,75,1000422,71,22
135,1000169,59,1000472,55,23
135,1000276,67,1000526,62,24
135,1000104,56,1000038,55,25
135,1000440,81,1000359,77,26
135,1000059,81,1000527,69,27
135,1000507,78,1000185,65,28
135,1000195,68,1000232,55,29
135,1000222,80,1000037,71,30
135,1000469,65,1000062,54,31
135,1000582,71,1000224,59,32
135,1000558,70,1000005,61,33
135,1000567,59,1000555,46,34
136,1000048,60,1000400,58,35
136,1000055,74,1000642,66,36
136,1000067,78,1000298,63,37
136,1000087,81,1000041,52,38
136,1000128,79,1000455,51,39
136,1000153,86,1000475,71,40
136,1000207,73,1000564,68,41
136,1000215,59,1000417,57,42
136,1000307,62,1000236,61,43
136,1000412,74,1000544,51,44
136,1000437,69,1000577,66,45
136,1000448,68,1000319,50,46
136,1000500,66,1000409,64,47
136,1000536,78,1000281,76,48
136,1000615,84,1000076,76,49
136,1000634,72,1000032,58,50
136,1000027,68,1000441,60,51
136,1000080,68,1000552,64,52
136,1000154,77,1000616,54,53
136,1000175,79,1000341,66,54
136,1000188,77,1000088,64,55
136,1000208,70,1000470,64,56
136,1000216,81,1000602,66,57
136,1000237,69,1000099,62,58
136,1000251,88,1000056,68,59
136,1000317,58,1000084,41,60
136,1000337,75,1000229,68,61
136,1000382,78,1000242,59,62
136,1000492,72,1000545,65,63
136,1000568,62,1000623,59,64
136,1000578,79,1000164,70,65
136,1000635,73,1000303,49,66
136,1000026,68,1000446,59,67
136,1000047,77,1000565,59,68
136,1000054,99,1000127,92,69
136,1000197,90,1000225,74,70
136,1000206,82,1000360,62,71
136,1000214,100,1000121,71,72
136,1000316,66,1000576,65,73
136,1000336,62,1000302,57,74
136,1000363,69,1000550,66,75
136,1000377,97,1000142,83,76
136,1000399,51,1000368,50,77
136,1000482,80,1000436,71,78
136,1000505,62,1000447,59,79
136,1000585,73,1000439,70,80
136,1000606,81,1000510,80,81
136,1000609,80,1000249,78,82
136,1000086,103,1000065,47,83
136,1000109,86,1000036,62,84
136,1000151,77,1000000,64,85
136,1000244,75,1000046,71,86
136,1000255,84,1000060,71,87
136,1000261,81,1000098,70,88
136,1000271,62,1000074,59,89
136,1000349,101,1000432,58,90
136,1000387,82,1000308,54,91
136,1000424,61,1000362,56,92
136,1000509,76,1000289,62,93
136,1000517,79,1000053,66,94
136,1000535,65,1000566,64,95
136,1000584,80,1000009,67,96
136,1000601,76,1000172,72,97
136,1000608,71,1000295,58,98
136,1000013,81,1000034,64,99
136,1000049,68,1000042,56,100
136,1000063,64,1000553,61,101
136,1000085,84,1000300,72,102
136,1000155,64,1000471,58,103
136,1000165,68,1000338,62,104
136,1000238,79,1000324,48,105
136,1000252,59,1000100,58,106
136,1000264,54,1000484,52,107
136,1000274,71,1000442,56,108
136,1000283,65,1000574,54,109
136,1000401,68,1000395,55,110
136,1000480,64,1000342,44,111
136,1000493,81,1000304,34,112
136,1000569,88,1000002,42,113
136,1000624,73,1000413,55,114
136,1000089,89,1000477,81,115
136,1000103,60,1000384,59,116
136,1000131,67,1000007,55,117
136,1000166,61,1000070,57,118
136,1000239,71,1000246,64,119
136,1000275,57,1000643,40,120
136,1000284,93,1000107,78,121
136,1000321,80,1000389,75,122
136,1000402,87,1000057,68,123
136,1000414,77,1000082,48,124
136,1000451,73,1000343,69,125
136,1000481,83,1000330,80,126
136,1000494,77,1000604,53,127
136,1000513,87,1000019,85,128
136,1000588,73,1000622,53,129
136,1000637,75,1000010,35,130
136,1000015,93,1000528,72,131
136,1000023,56,1000644,53,132
136,1000050,56,1000514,48,133
136,1000071,66,1000428,65,134
136,1000146,84,1000119,74,135
136,1000149,57,1000029,56,136
136,1000218,79,1000162,56,137
136,1000331,66,1000245,65,138
136,1000354,67,1000167,65,139
136,1000372,69,1000361,65,140
136,1000385,75,1000571,72,141
136,1000532,60,1000191,59,142
136,1000539,60,1000466,59,143
136,1000560,57,1000461,50,144
136,1000589,93,1000223,52,145
136,1000652,76,1000294,57,146
136,1000021,85,1000429,83,147
136,1000051,71,1000522,61,148
136,1000090,74,1000083,67,149
136,1000116,93,1000548,85,150
136,1000158,68,1000456,52,151
136,1000178,99,1000066,74,152
136,1000192,94,1000182,81,153
136,1000203,105,1000025,79,154
136,1000219,85,1000488,57,155
136,1000268,79,1000045,72,156
136,1000355,83,1000125,67,157
136,1000421,70,1000556,69,158
136,1000561,80,1000139,69,159
136,1000596,81,1000163,45,160
136,1000627,65,1000016,55,161
136,1000656,79,1000030,75,162
136,1000017,100,1000358,82,163
136,1000052,76,1000631,64,164
136,1000132,80,1000122,65,165
136,1000138,86,1000126,80,166
136,1000159,66,1000444,46,167
136,1000193,84,1000334,73,168
136,1000315,81,1000292,72,169
136,1000366,68,1000580,66,170
136,1000374,60,1000418,58,171
136,1000430,80,1000583,70,172
136,1000485,85,1000573,77,173
136,1000591,76,1000312,56,174
136,1000597,76,1000549,71,175
136,1000619,86,1000043,80,176
136,1000640,84,1000599,74,177
136,1000654,76,1000259,65,178
136,NULL,86,1000600,83,179
136,NULL,89,NULL,68,180
136,NULL,89,1000184,67,181
136,1000133,77,1000474,62,182
136,1000160,68,1000547,64,183
136,1000171,67,1000453,65,184
136,1000205,76,1000408,60,185
136,1000221,78,NULL,73,186
136,1000243,64,1000270,62,187
136,1000278,61,1000305,47,188
136,1000386,81,1000445,73,189
136,1000435,83,1000392,78,190
136,1000458,94,1000332,83,191
136,1000508,73,1000645,47,192
136,1000523,70,1000463,60,193
136,1000592,87,1000433,61,194
137,NULL,62,NULL,58,195
137,NULL,79,NULL,62,196
137,NULL,68,NULL,53,197
137,NULL,79,1000346,68,198
137,NULL,67,1000301,54,199
137,1000212,69,NULL,59,200
137,1000254,81,1000629,75,201
137,1000288,82,NULL,78,202
137,1000335,87,1000516,83,203
137,1000357,84,1000228,66,204
137,1000431,74,NULL,48,205
137,1000496,57,1000497,52,206
137,1000521,73,1000423,69,207
137,1000543,74,1000598,54,208
137,1000620,85,1000318,68,209
137,1000655,102,1000530,83,210
137,1000024,77,1000457,71,211
137,1000031,91,1000345,73,212
137,1000073,75,1000211,61,213
137,1000117,87,1000524,65,214
137,1000204,100,1000533,62,215
137,1000220,79,1000323,70,216
137,1000241,78,1000194,63,217
137,1000277,92,1000398,91,218
137,1000287,78,1000269,58,219
137,1000356,103,1000529,64,220
137,1000405,93,1000183,77,221
137,1000434,84,1000096,72,222
137,1000468,93,1000253,73,223
137,1000540,97,1000213,80,224
137,1000557,66,1000467,65,225
137,1000628,64,1000106,58,226
137,1000168,77,1000064,66,227
137,1000187,72,1000503,70,228
137,1000258,79,1000443,74,229
137,1000314,90,1000286,81,230
137,1000365,75,1000515,72,231
137,1000373,70,1000276,63,232
137,1000391,82,1000097,68,233
137,1000404,91,1000169,52,234
137,1000462,70,1000618,56,235
137,1000478,78,1000072,76,236
137,1000495,70,1000105,51,237
137,1000520,92,1000621,65,238
137,1000572,75,1000406,67,239
137,1000590,86,1000546,56,240
137,1000639,47,1000415,43,241
137,1000653,71,1000612,53,242
137,1000104,66,1000420,53,243
137,1000115,85,1000440,56,244
137,1000157,86,1000322,76,245
137,1000186,83,1000101,52,246
137,1000202,75,1000344,56,247
137,1000240,57,1000534,55,248
137,1000257,65,1000575,62,249
137,1000285,70,1000148,63,250
137,1000364,71,1000646,54,251
137,1000390,69,1000008,60,252
137,1000403,79,1000397,73,253
137,1000452,76,1000476,64,254
137,1000595,79,1000035,67,255
137,1000617,68,1000044,62,256
137,1000626,81,1000177,76,257
137,1000638,86,1000079,72,258
137,1000014,68,1000611,59,259
137,1000028,74,1000333,60,260
137,1000095,76,1000542,66,261
137,1000156,85,1000396,77,262
137,1000190,93,1000325,75,263
137,1000201,80,1000118,69,264
137,1000217,56,1000210,49,265
137,1000265,71,1000140,66,266
137,1000266,78,1000114,71,267
137,1000353,79,1000419,77,268
137,1000460,77,1000570,75,269
137,1000487,58,1000339,53,270
137,1000507,86,1000260,67,271
137,1000538,76,1000525,59,272
137,1000594,70,1000078,59,273
137,1000625,64,1000059,37,274
137,1000094,67,1000069,63,275
137,1000113,73,1000006,61,276
137,1000124,78,1000145,68,277
137,1000130,79,1000367,47,278
137,1000174,57,1000081,49,279
137,1000176,83,1000195,62,280
137,1000189,76,1000371,58,281
137,1000200,64,1000603,57,282
137,1000222,63,1000209,61,283
137,1000267,78,1000407,49,284
137,1000291,83,1000537,63,285
137,1000293,57,1000636,46,286
137,1000352,78,1000587,71,287
137,1000383,95,1000181,70,288
137,1000450,70,1000388,55,289
137,1000502,76,1000329,72,290
137,1000011,84,1000559,71,291
137,1000018,66,1000498,57,292
137,1000077,84,1000605,69,293
137,1000102,68,1000613,60,294
137,1000196,84,1000320,74,295
137,1000234,74,1000306,54,296
137,1000248,58,1000562,57,297
137,1000279,77,1000438,62,298
137,1000296,78,1000091,59,299
137,1000393,77,1000504,75,300
137,1000410,72,1000120,62,301
137,1000464,74,1000379,72,302
137,1000489,59,1000459,44,303
137,1000554,72,1000039,55,304
137,1000632,61,1000134,59,305
137,1000647,77,1000416,59,306
137,1000061,77,1000235,62,307
137,1000092,78,1000499,65,308
137,1000110,73,1000022,44,309
137,1000150,64,1000394,59,310
137,1000152,67,1000135,60,311
137,1000256,89,1000170,77,312
137,1000280,70,1000340,67,313
137,1000297,86,1000075,78,314
137,1000380,68,1000454,51,315
137,1000411,89,1000375,66,316
137,1000425,72,1000465,64,317
137,1000490,79,1000581,56,318
137,1000518,69,1000563,53,319
137,1000614,77,1000309,50,320
137,1000633,53,1000641,49,321
137,1000648,65,1000290,54,322
137,1000068,65,1000512,59,323
137,1000093,58,1000003,57,324
137,1000129,71,1000593,45,325
137,1000137,66,1000473,63,326
137,1000144,74,1000033,59,327
137,1000199,65,1000108,50,328
137,1000226,75,1000112,70,329
137,1000282,89,1000231,67,330
137,1000328,79,1000449,65,331
137,1000348,86,1000299,84,332
137,1000351,77,1000582,58,333
137,1000378,65,1000273,60,334
137,1000427,72,1000483,69,335
137,1000469,58,1000501,44,336
137,1000479,61,1000263,54,337
137,1000650,67,1000370,63,338
137,1000012,77,1000262,75,339
137,1000111,87,1000161,45,340
137,1000136,57,1000519,50,341
137,1000141,61,1000586,57,342
137,1000173,73,1000551,62,343
137,1000198,72,1000040,53,344
137,1000250,66,1000649,55,345
137,1000272,75,1000506,45,346
137,1000350,102,1000230,87,347
137,1000369,69,1000001,56,348
137,1000381,75,1000558,46,349
137,1000426,65,1000486,43,350
137,1000491,77,1000179,60,351
137,1000511,85,1000376,81,352
137,1000567,74,1000143,56,353
137,1000610,68,1000147,65,354
138,1000048,71,1000412,70,355
138,1000055,89,1000153,67,356
138,1000087,69,1000067,58,357
138,1000128,73,1000536,65,358
138,1000215,71,1000615,63,359
138,1000437,65,1000307,48,360
138,1000448,71,1000500,64,361
138,1000634,70,1000207,65,362
138,1000027,80,1000080,63,363
138,1000175,63,1000568,61,364
138,1000216,87,1000188,71,365
138,1000237,59,1000337,56,366
138,1000251,62,1000317,53,367
138,1000382,73,1000154,66,368
138,1000492,75,1000208,59,369
138,1000635,60,1000578,57,370
138,1000026,76,1000399,68,371
138,1000047,54,1000316,52,372
138,1000206,84,1000054,72,373
138,1000214,90,1000606,60,374
138,1000363,69,1000197,67,375
138,1000482,75,1000585,68,376
138,1000505,83,1000377,68,377
138,1000609,82,1000336,64,378
138,1000086,92,1000517,66,379
138,1000109,74,1000509,69,380
138,1000151,83,1000601,81,381
138,1000261,89,1000255,70,382
138,1000349,84,1000244,70,383
138,1000387,73,1000271,63,384
138,1000424,76,1000608,74,385
138,1000584,89,1000535,69,386
138,1000013,74,1000165,51,387
138,1000238,82,1000085,56,388
138,1000252,74,1000049,72,389
138,1000274,78,1000569,53,390
138,1000283,70,1000264,48,391
138,1000401,74,1000480,57,392
138,1000493,66,1000063,60,393
138,1000624,76,1000155,70,394
138,1000089,77,1000588,65,395
138,1000103,55,1000494,53,396
138,1000131,61,1000414,45,397
138,1000239,66,1000481,51,398
138,1000275,79,1000513,65,399
138,1000284,80,1000166,73,400
138,1000451,63,1000321,44,401
138,1000637,85,1000402,77,402
138,1000015,73,1000385,58,403
138,1000218,64,1000071,51,404
138,1000331,71,1000589,68,405
138,1000354,87,1000023,78,406
138,1000372,67,1000050,64,407
138,1000539,92,1000532,75,408
138,1000560,75,1000146,64,409
138,1000652,75,1000149,67,410
138,1000116,71,1000656,64,411
138,1000158,82,1000561,59,412
138,1000178,73,1000219,67,413
138,1000192,78,1000021,61,414
138,1000203,73,1000090,61,415
138,1000268,65,1000627,57,416
138,1000355,85,1000421,66,417
138,1000596,77,1000051,69,418
138,1000017,69,1000485,60,419
138,1000052,74,1000315,65,420
138,1000132,65,1000597,39,421
138,1000159,79,1000366,73,422
138,1000430,80,1000193,76,423
138,1000619,83,1000374,71,424
138,1000640,65,1000591,62,425
138,1000654,91,1000138,66,426
138,NULL,87,1000435,62,427
138,1000160,90,1000386,84,428
138,1000205,83,1000458,79,429
138,1000221,95,NULL,75,430
138,1000243,63,1000508,62,431
138,1000278,64,1000171,63,432
138,1000523,69,1000133,66,433
138,1000592,81,NULL,58,434
139,NULL,84,NULL,53,435
139,NULL,75,1000655,70,436
139,1000212,50,1000543,43,437
139,1000335,75,NULL,73,438
139,1000431,76,NULL,73,439
139,1000496,55,1000288,53,440
139,1000521,86,1000357,65,441
139,1000620,94,1000254,71,442
139,1000031,82,1000557,78,443
139,1000204,90,1000287,70,444
139,1000220,65,1000628,62,445
139,1000277,73,1000241,69,446
139,1000356,72,1000024,65,447
139,1000405,75,1000434,72,448
139,1000468,88,1000117,81,449
139,1000540,79,1000073,67,450
139,1000258,73,1000168,60,451
139,1000373,76,1000462,75,452
139,1000391,85,1000572,81,453
139,1000404,69,1000478,64,454
139,1000495,75,1000314,50,455
139,1000520,92,1000365,88,456
139,1000590,87,1000187,68,457
139,1000639,66,1000653,63,458
139,1000115,68,1000452,49,459
139,1000157,87,1000186,68,460
139,1000240,66,1000364,53,461
139,1000285,60,1000595,54,462
139,1000390,72,1000104,66,463
139,1000617,69,1000257,59,464
139,1000626,78,1000202,65,465
139,1000638,72,1000403,65,466
139,1000014,84,1000156,61,467
139,1000028,85,1000095,55,468
139,1000190,85,1000353,83,469
139,1000217,78,1000625,76,470
139,1000487,60,1000201,57,471
139,1000507,83,1000266,63,472
139,1000538,77,1000460,60,473
139,1000594,78,1000265,60,474
139,1000113,66,1000094,50,475
139,1000124,81,1000450,71,476
139,1000130,78,1000291,64,477
139,1000176,58,1000502,52,478
139,1000200,70,1000352,58,479
139,1000222,76,1000293,74,480
139,1000267,63,1000174,59,481
139,1000383,78,1000189,75,482
139,1000011,71,1000077,57,483
139,1000196,60,1000102,43,484
139,1000234,79,1000464,72,485
139,1000279,74,1000554,69,486
139,1000296,83,1000248,79,487
139,1000410,84,1000393,76,488
139,1000489,78,1000018,67,489
139,1000647,60,1000632,49,490
139,1000092,87,1000633,69,491
139,1000110,68,1000061,53,492
139,1000280,85,1000256,83,493
139,1000380,75,1000150,66,494
139,1000425,63,1000518,61,495
139,1000490,87,1000152,65,496
139,1000614,68,1000297,59,497
139,1000648,71,1000411,68,498
139,1000068,62,1000137,56,499
139,1000129,84,1000348,50,500
139,1000199,63,1000427,60,501
139,1000282,65,1000479,61,502
139,1000328,66,1000144,63,503
139,1000351,87,1000093,73,504
139,1000378,62,1000469,56,505
139,1000650,70,1000226,58,506
139,1000012,70,1000511,69,507
139,1000111,73,1000272,71,508
139,1000136,71,1000369,57,509
139,1000198,73,1000173,59,510
139,1000250,66,1000491,62,511
139,1000350,86,1000610,83,512
139,1000381,98,1000141,66,513
139,1000567,94,1000426,76,514
143,1000012,93,1000111,77,515
143,1000048,61,1000634,54,516
143,1000087,74,1000448,67,517
143,1000128,83,1000055,74,518
143,1000129,68,1000251,58,519
143,1000237,57,1000282,44,520
143,1000382,81,1000068,66,521
143,1000492,64,1000635,63,522
143,1000047,63,1000490,59,523
143,1000206,101,1000648,96,524
143,1000214,62,1000092,45,525
143,1000614,69,1000609,56,526
143,1000086,72,1000424,60,527
143,1000296,102,1000261,91,528
143,1000410,60,1000647,55,529
143,1000584,77,1000109,54,530
143,1000252,71,1000267,61,531
143,1000383,73,1000013,70,532
143,1000493,61,1000176,50,533
143,1000624,72,1000222,58,534
143,1000014,70,1000451,64,535
143,1000103,82,1000487,72,536
143,1000131,79,1000538,68,537
143,1000637,69,1000028,52,538
143,1000015,68,1000652,60,539
143,1000218,78,1000617,39,540
143,1000372,81,1000626,70,541
143,1000638,79,1000354,72,542
143,1000203,79,1000258,63,543
143,1000391,77,1000520,63,544
143,1000404,82,1000116,68,545
143,1000590,92,1000268,69,546
143,1000159,61,1000619,58,547
143,1000204,98,1000430,66,548
143,1000405,69,1000277,68,549
143,1000654,73,1000017,71,550
143,NULL,75,1000160,60,551
143,1000212,61,1000221,58,552
143,1000243,69,1000335,68,553
143,1000278,99,1000521,72,554
144,NULL,69,1000496,65,555
144,1000205,80,NULL,76,556
144,1000523,78,1000431,65,557
144,1000592,90,1000620,78,558
144,1000132,84,1000640,83,559
144,1000220,86,1000540,75,560
144,1000356,92,1000052,80,561
144,1000468,70,1000031,50,562
144,1000355,101,1000178,86,563
144,1000373,61,1000639,56,564
144,1000495,63,1000158,60,565
144,1000596,84,1000192,71,566
144,1000115,63,1000560,57,567
144,1000157,74,1000539,62,568
144,1000240,75,1000331,65,569
144,1000285,62,1000390,58,570
144,1000089,81,1000190,76,571
144,1000217,74,1000239,69,572
144,1000275,73,1000507,71,573
144,1000284,61,1000594,59,574
144,1000113,71,1000283,61,575
144,1000130,62,1000124,50,576
144,1000238,77,1000401,69,577
144,1000274,87,1000200,85,578
144,1000234,103,1000011,64,579
144,1000279,67,1000196,62,580
144,1000349,98,1000151,77,581
144,1000387,84,1000489,71,582
144,1000026,72,1000482,49,583
144,1000110,70,1000425,57,584
144,1000280,59,1000363,52,585
144,1000505,76,1000380,73,586
144,1000027,75,1000650,70,587
144,1000199,60,1000328,57,588
144,1000216,102,1000175,90,589
144,1000351,73,1000378,65,590
144,1000198,77,1000437,57,591
144,1000215,62,1000381,60,592
144,1000350,81,1000250,63,593
144,1000567,72,1000136,71,594
145,1000048,74,1000128,71,595
145,1000087,65,1000012,63,596
145,1000237,72,1000129,68,597
145,1000382,77,1000492,70,598
145,1000047,63,1000206,56,599
145,1000614,73,1000214,66,600
145,1000086,82,1000296,75,601
145,1000584,78,1000410,76,602
145,1000493,55,1000252,39,603
145,1000624,70,1000383,66,604
145,1000131,62,1000103,52,605
145,1000637,64,1000014,63,606
145,1000218,68,1000372,66,607
145,1000638,85,1000015,78,608
145,1000391,80,1000404,68,609
145,1000590,64,1000203,59,610
145,1000159,83,1000654,59,611
145,1000405,74,1000204,60,612
145,1000243,78,1000212,62,613
145,1000278,58,NULL,54,614
146,1000205,85,NULL,81,615
146,1000592,71,1000523,59,616
146,1000356,75,1000220,73,617
146,1000468,77,1000132,70,618
146,1000355,88,1000373,74,619
146,1000495,68,1000596,62,620
146,1000115,66,1000157,52,621
146,1000285,76,1000240,70,622
146,1000089,60,1000284,54,623
146,1000217,75,1000275,72,624
146,1000238,85,1000113,63,625
146,1000274,79,1000130,59,626
146,1000279,64,1000234,52,627
146,1000349,72,1000387,60,628
146,1000110,78,1000026,71,629
146,1000280,70,1000505,69,630
146,1000199,80,1000351,67,631
146,1000216,82,1000027,70,632
146,1000215,76,1000350,69,633
146,1000567,71,1000198,61,634
152,1000048,70,1000567,62,635
152,1000087,56,1000215,55,636
152,1000199,64,1000382,62,637
152,1000216,69,1000237,61,638
152,1000047,52,1000280,50,639
152,1000110,78,1000614,57,640
152,1000279,82,1000086,73,641
152,1000349,83,1000584,69,642
152,1000238,72,1000624,68,643
152,1000274,61,1000493,56,644
152,1000089,63,1000131,53,645
152,1000217,74,1000637,73,646
152,1000115,81,1000285,61,647
152,1000638,71,1000218,64,648
152,1000355,83,1000495,66,649
152,1000590,95,1000391,51,650
152,1000159,77,1000468,73,651
152,1000356,77,1000405,76,652
152,1000278,69,1000243,57,653
152,1000592,95,1000205,79,654
154,1000592,79,1000278,62,655
154,1000356,71,1000159,65,656
154,1000590,77,1000355,74,657
154,1000115,68,1000638,63,658
154,1000089,60,1000217,54,659
154,1000238,82,1000274,76,660
154,1000349,89,1000279,72,661
154,1000110,61,1000047,59,662
154,1000216,67,1000199,59,663
154,1000087,53,1000048,41,664
