schoolid,TeamName,SrNames
1103,Akron,akron
1104,Alabama,alabama
1106,Alabama St,alabama-state
1107,Albany NY,albany-ny
1110,American Univ,american
1112,Arizona,arizona
1113,Arizona St,arizona-state
1114,Ark Little Rock,arkansas-little-rock
1115,Ark Pine Bluff,arkansas-pine-bluff
1116,Arkansas,arkansas
1120,Auburn,auburn
1122,Austin Peay,austin-peay
1124,Baylor,baylor
1125,Belmont,belmont
1127,Binghamton,binghamton
1129,Boise St,boise-state
1130,Boston College,boston-college
1131,Boston Univ,boston-university
1137,Bucknell,bucknell
1138,Buffalo,buffalo
1139,Butler,butler
1140,BYU,brigham-young
1142,Cal Poly SLO,cal-poly
1143,California,california
1151,Chattanooga,chattanooga
1153,Cincinnati,cincinnati
1155,Clemson,clemson
1156,Cleveland St,cleveland-state
1157,Coastal Car,coastal-carolina
1158,Col Charleston,college-of-charleston
1160,Colorado,colorado
1161,Colorado St,colorado-state
1163,Connecticut,connecticut
1165,Cornell,cornell
1166,Creighton,creighton
1167,CS Bakersfield,cal-state-bakersfield
1168,CS Fullerton,cal-state-fullerton
1169,CS Northridge,cal-state-northridge
1172,Davidson,davidson
1173,Dayton,dayton
1174,Delaware,delaware
1178,Detroit,detroit-mercy
1181,Duke,duke
1184,E Kentucky,eastern-kentucky
1186,E Washington,eastern-washington
1190,ETSU,east-tennessee-state
1192,F Dickinson,fairleigh-dickinson
1195,FL Gulf Coast,florida-gulf-coast
1196,Florida,florida
1199,Florida St,florida-state
1201,Fresno St,fresno-state
1203,G Washington,george-washington
1206,George Mason,george-mason
1207,Georgetown,georgetown
1208,Georgia,georgia
1209,Georgia St,georgia-state
1210,Georgia Tech,georgia-tech
1211,Gonzaga,gonzaga
1214,Hampton,hampton
1217,Harvard,harvard
1218,Hawaii,hawaii
1221,Holy Cross,holy-cross
1222,Houston,houston
1228,Illinois,illinois
1231,Indiana,indiana
1232,Indiana St,indiana-state
1233,Iona,iona
1234,Iowa,iowa
1235,Iowa St,iowa-state
1240,Jacksonville St,jacksonville-state
1241,James Madison,james-madison
1242,Kansas,kansas
1243,Kansas St,kansas-state
1245,Kent,kent-state
1246,Kentucky,kentucky
1247,La Salle,la-salle
1248,Lafayette,lafayette
1249,Lamar,lamar
1250,Lehigh,lehigh
1251,Liberty,liberty
1252,Lipscomb,lipscomb
1253,Long Beach St,long-beach-state
1254,Long Island,long-island-university
1257,Louisville,louisville
1259,Loyola MD,loyola-md
1260,Loyola-Chicago,loyola-il
1261,LSU,louisiana-state
1264,Manhattan,manhattan
1266,Marquette,marquette
1267,Marshall,marshall
1268,Maryland,maryland
1269,Massachusetts,massachusetts
1272,Memphis,memphis
1273,Mercer,mercer
1274,Miami FL,miami-fl
1276,Michigan,michigan
1277,Michigan St,michigan-state
1278,Minnesota,minnesota
1279,Mississippi,mississippi
1280,Mississippi St,mississippi-state
1281,Missouri,missouri
1285,Montana,montana
1287,Morehead St,morehead-state
1288,Morgan St,morgan-state
1290,MS Valley St,mississippi-valley-state
1291,Mt St Mary's,mount-st-marys
1292,MTSU,middle-tennessee
1293,Murray St,murray-state
1294,N Colorado,northern-colorado
1295,N Dakota St,north-dakota-state
1297,N Kentucky,northern-kentucky
1299,NC A&T,north-carolina-at
1300,NC Central,north-carolina-central
1301,NC State,north-carolina-state
1304,Nebraska,nebraska
1305,Nevada,nevada
1307,New Mexico,new-mexico
1308,New Mexico St,new-mexico-state
1309,New Orleans,new-orleans
1313,Norfolk St,norfolk-state
1314,North Carolina,north-carolina
1315,North Dakota,north-dakota
1316,North Florida,north-florida
1317,North Texas,north-texas
1318,Northeastern,northeastern
1320,Northern Iowa,northern-iowa
1321,Northwestern,northwestern
1322,Northwestern LA,northwestern-state
1323,Notre Dame,notre-dame
1324,Oakland,oakland
1325,Ohio,ohio
1326,Ohio St,ohio-state
1328,Oklahoma,oklahoma
1329,Oklahoma St,oklahoma-state
1330,Old Dominion,old-dominion
1332,Oregon,oregon
1333,Oregon St,oregon-state
1334,Pacific,pacific
1335,Penn,pennsylvania
1336,Penn St,penn-state
1338,Pittsburgh,pittsburgh
1340,Portland St,portland-state
1343,Princeton,princeton
1344,Providence,providence
1345,Purdue,purdue
1347,Radford,radford
1348,Rhode Island,rhode-island
1350,Richmond,richmond
1352,Robert Morris,robert-morris
1355,S Dakota St,south-dakota-state
1358,Sam Houston St,sam-houston-state
1361,San Diego St,san-diego-state
1364,Santa Barbara,california-santa-barbara
1371,Seton Hall,seton-hall
1372,SF Austin,stephen-f-austin
1373,Siena,siena
1374,SMU,southern-methodist
1376,South Carolina,south-carolina
1378,South Florida,south-florida
1379,Southern Miss,southern-mississippi
1380,Southern Univ,southern
1382,St Bonaventure,st-bonaventure
1385,St John's,st-johns-ny
1386,St Joseph's PA,saint-josephs
1387,St Louis,saint-louis
1388,St Mary's CA,saint-marys-ca
1389,St Peter's,saint-peters
1390,Stanford,stanford
1392,Stony Brook,stony-brook
1393,Syracuse,syracuse
1395,TCU,texas-christian
1396,Temple,temple
1397,Tennessee,tennessee
1400,Texas,texas
1401,Texas A&M,texas-am
1403,Texas Tech,texas-tech
1407,Troy,troy
1409,Tulsa,tulsa
1411,TX Southern,texas-southern
1412,UAB,alabama-birmingham
1413,UC Davis,california-davis
1414,UC Irvine,california-irvine
1417,UCLA,ucla
1418,ULL,louisiana-lafayette
1420,UMBC,maryland-baltimore-county
1421,UNC Asheville,north-carolina-asheville
1422,UNC Greensboro,north-carolina-greensboro
1423,UNC Wilmington,north-carolina-wilmington
1424,UNLV,nevada-las-vegas
1425,USC,southern-california
1427,UT San Antonio,texas-san-antonio
1428,Utah,utah
1429,Utah St,utah-state
1431,UTEP,texas-el-paso
1433,VA Commonwealth,virginia-commonwealth
1434,Valparaiso,valparaiso
1435,Vanderbilt,vanderbilt
1436,Vermont,vermont
1437,Villanova,villanova
1438,Virginia,virginia
1439,Virginia Tech,virginia-tech
1443,WKU,western-kentucky
1444,W Michigan,western-michigan
1448,Wake Forest,wake-forest
1449,Washington,washington
1451,Weber St,weber-state
1452,West Virginia,west-virginia
1453,WI Green Bay,green-bay
1454,WI Milwaukee,milwaukee
1455,Wichita St,wichita-state
1457,Winthrop,winthrop
1458,Wisconsin,wisconsin
1459,Wofford,wofford
1460,Wright St,wright-state
1461,Wyoming,wyoming
1462,Xavier,xavier
1463,Yale,yale
