TeamID,TeamName,FirstD1Season,LastD1Season,SrNames
1103,Akron,1985,2019,akron
1104,Alabama,1985,2019,alabama
1106,Alabama St,1985,2019,alabama-state
1107,Albany NY,2000,2019,albany-ny
1110,American Univ,1985,2019,american
1112,Arizona,1985,2019,arizona
1113,Arizona St,1985,2019,arizona-state
1114,Ark Little Rock,1985,2019,arkansas-little-rock
1115,Ark Pine Bluff,1999,2019,arkansas-pine-bluff
1116,Arkansas,1985,2019,arkansas
1120,Auburn,1985,2019,auburn
1122,Austin Peay,1985,2019,austin-peay
1124,Baylor,1985,2019,baylor
1125,Belmont,2000,2019,belmont
1127,Binghamton,2002,2019,binghamton
1129,Boise St,1985,2019,boise-state
1130,Boston College,1985,2019,boston-college
1131,Boston Univ,1985,2019,boston-university
1137,Bucknell,1985,2019,bucknell
1138,Buffalo,1992,2019,buffalo
1139,Butler,1985,2019,butler
1140,BYU,1985,2019,brigham-young
1142,Cal Poly SLO,1995,2019,cal-poly
1143,California,1985,2019,california
1151,Chattanooga,1985,2019,chattanooga
1153,Cincinnati,1985,2019,cincinnati
1155,Clemson,1985,2019,clemson
1156,Cleveland St,1985,2019,cleveland-state
1157,Coastal Car,1987,2019,coastal-carolina
1158,Col Charleston,1992,2019,college-of-charleston
1160,Colorado,1985,2019,colorado
1161,Colorado St,1985,2019,colorado-state
1163,Connecticut,1985,2019,connecticut
1165,Cornell,1985,2019,cornell
1166,Creighton,1985,2019,creighton
1167,CS Bakersfield,2008,2019,cal-state-bakersfield
1168,CS Fullerton,1985,2019,cal-state-fullerton
1169,CS Northridge,1991,2019,cal-state-northridge
1172,Davidson,1985,2019,davidson
1173,Dayton,1985,2019,dayton
1174,Delaware,1985,2019,delaware
1178,Detroit,1985,2019,detroit-mercy
1181,Duke,1985,2019,duke
1184,E Kentucky,1985,2019,eastern-kentucky
1186,E Washington,1985,2019,eastern-washington
1190,ETSU,1985,2019,east-tennessee-state
1192,F Dickinson,1985,2019,fairleigh-dickinson
1195,FL Gulf Coast,2008,2019,florida-gulf-coast
1196,Florida,1985,2019,florida
1199,Florida St,1985,2019,florida-state
1201,Fresno St,1985,2019,fresno-state
1203,G Washington,1985,2019,george-washington
1206,George Mason,1985,2019,george-mason
1207,Georgetown,1985,2019,georgetown
1208,Georgia,1985,2019,georgia
1209,Georgia St,1985,2019,georgia-state
1210,Georgia Tech,1985,2019,georgia-tech
1211,Gonzaga,1985,2019,gonzaga
1214,Hampton,1996,2019,hampton
1217,Harvard,1985,2019,harvard
1218,Hawaii,1985,2019,hawaii
1221,Holy Cross,1985,2019,holy-cross
1222,Houston,1985,2019,houston
1228,Illinois,1985,2019,illinois
1231,Indiana,1985,2019,indiana
1232,Indiana St,1985,2019,indiana-state
1233,Iona,1985,2019,iona
1234,Iowa,1985,2019,iowa
1235,Iowa St,1985,2019,iowa-state
1240,Jacksonville St,1996,2019,jacksonville-state
1241,James Madison,1985,2019,james-madison
1242,Kansas,1985,2019,kansas
1243,Kansas St,1985,2019,kansas-state
1245,Kent,1985,2019,kent-state
1246,Kentucky,1985,2019,kentucky
1247,La Salle,1985,2019,la-salle
1248,Lafayette,1985,2019,lafayette
1249,Lamar,1985,2019,lamar
1250,Lehigh,1985,2019,lehigh
1251,Liberty,1989,2019,liberty
1252,Lipscomb,2003,2019,lipscomb
1253,Long Beach St,1985,2019,long-beach-state
1254,Long Island,1985,2019,long-island-university
1257,Louisville,1985,2019,louisville
1259,Loyola MD,1985,2019,loyola-md
1260,Loyola-Chicago,1985,2019,loyola-il
1261,LSU,1985,2019,louisiana-state
1264,Manhattan,1985,2019,manhattan
1266,Marquette,1985,2019,marquette
1267,Marshall,1985,2019,marshall
1268,Maryland,1985,2019,maryland
1269,Massachusetts,1985,2019,massachusetts
1272,Memphis,1985,2019,memphis
1273,Mercer,1985,2019,mercer
1274,Miami FL,1986,2019,miami-fl
1276,Michigan,1985,2019,michigan
1277,Michigan St,1985,2019,michigan-state
1278,Minnesota,1985,2019,minnesota
1279,Mississippi,1985,2019,mississippi
1280,Mississippi St,1985,2019,mississippi-state
1281,Missouri,1985,2019,missouri
1285,Montana,1985,2019,montana
1287,Morehead St,1985,2019,morehead-state
1288,Morgan St,1985,2019,morgan-state
1290,MS Valley St,1985,2019,mississippi-valley-state
1291,Mt St Mary's,1989,2019,mount-st-marys
1292,MTSU,1985,2019,middle-tennessee
1293,Murray St,1985,2019,murray-state
1294,N Colorado,2005,2019,northern-colorado
1295,N Dakota St,2006,2019,north-dakota-state
1297,N Kentucky,2013,2019,northern-kentucky
1299,NC A&T,1985,2019,north-carolina-at
1300,NC Central,2008,2019,north-carolina-central
1301,NC State,1985,2019,north-carolina-state
1304,Nebraska,1985,2019,nebraska
1305,Nevada,1985,2019,nevada
1307,New Mexico,1985,2019,new-mexico
1308,New Mexico St,1985,2019,new-mexico-state
1309,New Orleans,1985,2019,new-orleans
1313,Norfolk St,1998,2019,norfolk-state
1314,North Carolina,1985,2019,north-carolina
1315,North Dakota,2009,2019,north-dakota
1316,North Florida,2006,2019,north-florida
1317,North Texas,1985,2019,north-texas
1318,Northeastern,1985,2019,northeastern
1320,Northern Iowa,1985,2019,northern-iowa
1321,Northwestern,1985,2019,northwestern
1322,Northwestern LA,1985,2019,northwestern-state
1323,Notre Dame,1985,2019,notre-dame
1324,Oakland,2000,2019,oakland
1325,Ohio,1985,2019,ohio
1326,Ohio St,1985,2019,ohio-state
1328,Oklahoma,1985,2019,oklahoma
1329,Oklahoma St,1985,2019,oklahoma-state
1330,Old Dominion,1985,2019,old-dominion
1332,Oregon,1985,2019,oregon
1333,Oregon St,1985,2019,oregon-state
1334,Pacific,1985,2019,pacific
1335,Penn,1985,2019,pennsylvania
1336,Penn St,1985,2019,penn-state
1338,Pittsburgh,1985,2019,pittsburgh
1340,Portland St,1999,2019,portland-state
1343,Princeton,1985,2019,princeton
1344,Providence,1985,2019,providence
1345,Purdue,1985,2019,purdue
1347,Radford,1985,2019,radford
1348,Rhode Island,1985,2019,rhode-island
1350,Richmond,1985,2019,richmond
1352,Robert Morris,1985,2019,robert-morris
1355,S Dakota St,2006,2019,south-dakota-state
1358,Sam Houston St,1987,2019,sam-houston-state
1361,San Diego St,1985,2019,san-diego-state
1364,Santa Barbara,1985,2019,california-santa-barbara
1371,Seton Hall,1985,2019,seton-hall
1372,SF Austin,1987,2019,stephen-f-austin
1373,Siena,1985,2019,siena
1374,SMU,1985,2019,southern-methodist
1376,South Carolina,1985,2019,south-carolina
1378,South Florida,1985,2019,south-florida
1379,Southern Miss,1985,2019,southern-mississippi
1380,Southern Univ,1985,2019,southern
1382,St Bonaventure,1985,2019,st-bonaventure
1385,St John's,1985,2019,st-johns-ny
1386,St Joseph's PA,1985,2019,saint-josephs
1387,St Louis,1985,2019,saint-louis
1388,St Mary's CA,1985,2019,saint-marys-ca
1389,St Peter's,1985,2019,saint-peters
1390,Stanford,1985,2019,stanford
1392,Stony Brook,2000,2019,stony-brook
1393,Syracuse,1985,2019,syracuse
1395,TCU,1985,2019,texas-christian
1396,Temple,1985,2019,temple
1397,Tennessee,1985,2019,tennessee
1400,Texas,1985,2019,texas
1401,Texas A&M,1985,2019,texas-am
1403,Texas Tech,1985,2019,texas-tech
1407,Troy,1994,2019,troy
1409,Tulsa,1985,2019,tulsa
1411,TX Southern,1985,2019,texas-southern
1412,UAB,1985,2019,alabama-birmingham
1413,UC Davis,2005,2019,california-davis
1414,UC Irvine,1985,2019,california-irvine
1417,UCLA,1985,2019,ucla
1418,ULL,1985,2019,louisiana-lafayette
1420,UMBC,1987,2019,maryland-baltimore-county
1421,UNC Asheville,1987,2019,north-carolina-asheville
1422,UNC Greensboro,1992,2019,north-carolina-greensboro
1423,UNC Wilmington,1985,2019,north-carolina-wilmington
1424,UNLV,1985,2019,nevada-las-vegas
1425,USC,1985,2019,southern-california
1427,UT San Antonio,1985,2019,texas-san-antonio
1428,Utah,1985,2019,utah
1429,Utah St,1985,2019,utah-state
1431,UTEP,1985,2019,texas-el-paso
1433,VA Commonwealth,1985,2019,virginia-commonwealth
1434,Valparaiso,1985,2019,valparaiso
1435,Vanderbilt,1985,2019,vanderbilt
1436,Vermont,1985,2019,vermont
1437,Villanova,1985,2019,villanova
1438,Virginia,1985,2019,virginia
1439,Virginia Tech,1985,2019,virginia-tech
1443,WKU,1985,2019,western-kentucky
1444,W Michigan,1985,2019,western-michigan
1448,Wake Forest,1985,2019,wake-forest
1449,Washington,1985,2019,washington
1451,Weber St,1985,2019,weber-state
1452,West Virginia,1985,2019,west-virginia
1453,WI Green Bay,1985,2019,green-bay
1454,WI Milwaukee,1991,2019,milwaukee
1455,Wichita St,1985,2019,wichita-state
1457,Winthrop,1987,2019,winthrop
1458,Wisconsin,1985,2019,wisconsin
1459,Wofford,1996,2019,wofford
1460,Wright St,1988,2019,wright-state
1461,Wyoming,1985,2019,wyoming
1462,Xavier,1985,2019,xavier
1463,Yale,1985,2019,yale
