Team,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G,W-L%,SRS,SOS,opp_PPG,Seed
kansas,851,1758,.484,652,1180,.553,199,578,.344,411,616,.667,333,863,1196,432,237,145,396,454,74.6,.903,24.96,11.63,60.7,1
san-diego-state,852,1820,.468,561,1055,.532,291,765,.380,400,519,.771,297,824,1121,473,221,88,344,534,74.8,.938,18.38,3.93,59.5,2
maryland,744,1774,.419,506,1009,.501,238,765,.311,500,669,.747,348,836,1184,409,142,134,350,463,71.8,.774,17.82,10.50,64.5,3
kentucky,795,1723,.461,638,1265,.504,157,458,.343,560,703,.797,300,836,1136,415,162,153,387,568,74.4,.806,15.78,7.46,66.1,4
butler,776,1687,.460,564,1066,.529,212,621,.341,361,496,.728,280,799,1079,395,165,82,349,519,68.5,.710,15.56,9.14,62.1,5
auburn,808,1868,.433,556,1044,.533,252,824,.306,551,818,.674,421,845,1266,397,199,151,399,596,78.0,.806,15.04,7.39,70.4,6
west-virginia,774,1833,.422,619,1291,.479,155,542,.286,476,742,.642,470,784,1254,383,238,111,447,572,70.3,.677,18.51,10.64,62.4,7
saint-marys-ca,922,1925,.479,646,1228,.526,276,697,.396,439,582,.754,260,829,1089,404,224,68,336,562,75.3,.765,12.27,5.24,66.9,8
oklahoma,760,1808,.420,536,1104,.486,224,704,.318,433,565,.766,259,884,1143,365,190,135,345,415,70.2,.613,13.48,10.64,67.4,9
texas-tech,779,1724,.452,555,1093,.508,224,631,.355,448,594,.754,279,754,1033,476,239,124,423,545,71.9,.581,16.83,8.41,63.5,10
arizona-state,816,1904,.429,589,1201,.490,227,703,.323,429,617,.695,312,803,1115,345,249,104,408,577,73.8,.645,11.46,8.10,70.5,11
purdue,780,1867,.418,557,1192,.467,223,675,.330,331,482,.687,394,750,1144,423,202,109,357,544,68.2,.516,16.30,10.76,62.6,12
richmond,847,1817,.466,598,1129,.530,249,688,.362,392,505,.776,234,840,1074,481,252,78,338,479,75.3,.774,11.31,2.76,66.8,13
tennessee,715,1656,.432,528,1058,.499,187,598,.313,462,617,.749,311,758,1069,448,186,174,423,563,67.1,.548,11.18,8.30,64.2,14
rhode-island,783,1851,.423,613,1312,.467,170,539,.315,464,686,.676,359,803,1162,378,252,116,355,519,73.3,.700,9.25,4.78,68.9,15
mississippi-state,802,1713,.468,641,1234,.519,161,479,.336,510,676,.754,371,789,1160,415,174,158,431,542,73.4,.645,12.21,6.96,68.1,16
gonzaga,1048,2035,.515,802,1398,.574,246,637,.386,543,789,.688,375,949,1324,550,243,127,368,484,87.4,.939,22.70,3.13,67.8,1
florida-state,844,1848,.457,614,1193,.515,230,655,.351,418,557,.750,350,749,1099,409,273,162,410,542,75.4,.839,17.28,7.64,65.7,2
louisville,810,1787,.453,555,1108,.501,255,679,.376,421,576,.731,335,862,1197,433,157,83,376,524,74.1,.774,17.94,7.55,63.7,3
villanova,797,1806,.441,490,952,.515,307,854,.359,368,485,.759,271,841,1112,449,175,81,335,471,73.2,.774,16.84,10.03,66.4,4
penn-state,832,1931,.431,583,1166,.500,249,765,.325,414,598,.692,348,852,1200,443,233,150,348,543,75.1,.677,16.12,9.25,68.2,5
iowa,842,1868,.451,598,1165,.513,244,703,.347,482,643,.750,356,806,1162,538,191,120,375,496,77.7,.645,16.07,10.62,72.3,6
arizona,850,1905,.446,617,1244,.496,233,661,.352,512,699,.732,349,849,1198,492,216,119,378,593,76.4,.656,19.49,8.40,65.3,7
houston,788,1868,.422,572,1227,.466,216,641,.337,449,615,.730,447,839,1286,400,161,151,369,608,72.3,.742,16.46,6.30,62.1,8
louisiana-state,886,1880,.471,675,1235,.547,211,645,.327,512,666,.769,375,855,1230,398,195,121,390,495,80.5,.677,14.43,7.20,73.3,9
xavier,833,1912,.436,626,1248,.502,207,664,.312,388,590,.658,380,861,1241,460,201,114,446,535,70.7,.594,12.57,9.47,67.6,10
texas,740,1730,.428,492,988,.498,248,742,.334,261,381,.685,278,708,986,359,171,134,420,568,64.2,.613,10.47,9.60,63.3,11
tulsa,728,1653,.440,546,1087,.502,182,566,.322,465,657,.708,268,801,1069,391,234,70,417,469,67.8,.677,7.92,3.59,63.5,12
vermont,841,1874,.449,574,1060,.542,267,814,.328,412,574,.718,313,898,1211,456,193,111,371,534,71.5,.788,6.07,-4.84,59.5,13
belmont,986,2074,.475,666,1166,.571,320,908,.352,335,470,.713,290,942,1232,604,249,106,392,497,79.6,.788,4.30,-6.23,67.9,14
wright-state,917,2010,.456,670,1326,.505,247,684,.361,499,741,.673,388,891,1279,443,209,113,396,516,80.6,.781,2.46,-6.21,70.8,15
siena,770,1679,.459,572,1121,.510,198,558,.355,429,609,.704,321,775,1096,401,160,92,389,495,72.2,.667,-1.13,-5.66,67.7,16
baylor,763,1778,.429,533,1122,.475,230,656,.351,378,548,.690,387,719,1106,413,244,132,357,509,71.1,.867,20.13,9.13,60.1,1
seton-hall,783,1754,.446,545,1043,.523,238,711,.335,437,611,.715,308,805,1113,437,210,174,398,557,74.7,.700,16.75,9.95,67.9,2
duke,920,1957,.470,703,1340,.525,217,617,.352,501,696,.720,394,850,1244,479,258,188,409,557,82.5,.806,22.55,8.00,68.0,3
oregon,857,1825,.470,588,1145,.514,269,680,.396,369,527,.700,336,758,1094,446,241,102,368,538,75.9,.774,18.22,9.09,66.7,4
brigham-young,949,1897,.500,617,1112,.555,332,785,.423,318,454,.700,209,851,1060,554,186,67,353,513,79.6,.750,16.93,6.45,68.4,5
colorado,777,1778,.437,536,1091,.491,241,687,.351,473,643,.736,322,857,1179,422,183,98,422,470,70.9,.656,14.91,8.31,64.3,6
illinois,811,1831,.443,636,1265,.503,175,566,.309,442,607,.728,393,831,1224,411,151,89,375,497,72.2,.677,15.27,9.84,65.3,7
indiana,812,1825,.445,636,1285,.495,176,540,.326,486,716,.679,361,849,1210,414,179,140,403,549,71.4,.625,15.07,10.35,66.7,8
providence,764,1852,.413,539,1174,.459,225,678,.332,461,664,.694,406,766,1172,445,257,102,417,581,71.4,.613,13.45,8.19,66.2,9
florida,791,1729,.457,570,1093,.522,221,636,.347,425,588,.723,313,767,1080,368,178,121,369,528,71.9,.613,14.94,9.10,66.0,10
northern-iowa,844,1776,.475,557,1039,.536,287,737,.389,355,468,.759,294,870,1164,379,143,71,372,443,75.2,.806,9.83,1.45,64.7,11
liberty,841,1754,.479,581,1044,.557,260,710,.366,390,548,.712,250,881,1131,446,192,96,318,456,68.6,.882,5.15,-7.26,53.8,12
akron,788,1789,.440,501,994,.504,287,795,.361,485,629,.771,302,867,1169,405,158,91,397,548,75.7,.774,7.15,-0.40,66.5,13
yale,809,1726,.469,544,1012,.538,265,714,.371,406,570,.712,273,893,1166,464,188,101,389,449,76.3,.767,6.63,-1.51,65.1,14
radford,841,1813,.464,590,1106,.533,251,707,.355,369,575,.642,340,826,1166,427,170,68,342,561,71.9,.656,-2.67,-5.71,66.1,15
hofstra,895,1991,.450,613,1238,.495,282,753,.375,524,669,.783,352,832,1184,419,235,73,383,482,76.4,.765,3.06,-3.85,68.4,16
dayton,905,1725,.525,656,1053,.623,249,672,.371,421,585,.720,242,843,1085,546,176,109,377,529,80.0,.935,19.17,3.69,64.5,1
michigan-state,845,1833,.461,606,1146,.529,239,687,.348,424,565,.750,344,914,1258,549,159,156,389,524,75.9,.710,21.92,10.76,64.7,2
creighton,866,1839,.471,564,1056,.534,302,783,.386,394,533,.739,246,833,1079,489,203,79,337,472,78.3,.774,17.24,9.61,69.7,3
ohio-state,753,1690,.446,492,990,.497,261,700,.373,467,621,.752,308,832,1140,412,156,107,394,531,72.1,.677,19.37,10.24,62.9,4
wisconsin,730,1718,.425,461,954,.483,269,764,.352,353,462,.764,251,800,1051,373,138,114,309,476,67.2,.677,15.95,10.95,62.2,5
michigan,861,1864,.462,614,1135,.541,247,729,.339,357,498,.717,267,852,1119,454,169,140,332,470,75.0,.613,17.94,11.17,68.3,6
virginia,626,1515,.413,456,955,.477,170,560,.304,289,403,.717,243,782,1025,343,161,147,368,397,57.0,.767,12.16,7.50,52.4,7
marquette,759,1764,.430,458,977,.469,301,787,.382,514,692,.743,317,878,1195,406,154,127,410,572,77.8,.600,15.44,9.30,71.6,8
southern-california,781,1780,.439,581,1209,.481,200,571,.350,417,630,.662,333,861,1194,430,207,152,448,519,70.3,.710,11.51,7.22,66.0,9
rutgers,825,1847,.447,653,1293,.505,172,554,.310,346,537,.644,365,880,1245,394,203,142,379,520,69.9,.645,15.72,9.68,62.6,10
east-tennessee-state,919,1936,.475,659,1184,.557,260,752,.346,495,713,.694,370,836,1206,471,278,121,412,598,76.3,.882,7.63,-1.82,63.1,11
stephen-f-austin,887,1806,.491,708,1312,.540,179,494,.362,546,790,.691,406,754,1160,464,324,101,550,649,80.6,.903,4.04,-6.89,67.0,12
cincinnati,763,1713,.445,566,1095,.517,197,618,.319,459,678,.677,329,802,1131,437,196,146,432,540,72.7,.667,12.33,6.73,67.1,13
wichita-state,769,1891,.407,525,1147,.458,244,744,.328,445,638,.697,374,844,1218,437,219,115,396,577,71.8,.742,13.66,5.60,63.8,14
utah-state,905,1967,.460,657,1222,.538,248,745,.333,542,710,.763,366,1019,1385,561,209,109,426,532,76.5,.765,13.66,4.04,64.1,15
north-carolina-central,797,1734,.460,615,1129,.545,182,605,.301,386,591,.653,301,763,1064,420,260,93,472,588,69.7,.581,-10.04,-8.86,66.0,16
